,Name,Brand,Category,Size,Unit,Price,SellingPrice,Discount
232,Garam Masala Catch 100Gms,storese,Grocery & Staples,100,gm,74,70,5.41
233,Garam Masala MDH 100 Gms,storese,Grocery & Staples,100,gm,74,70,5.41
234,Avalakki (Poha) Medium Town 1 kg,storese,Grocery & Staples,1,kg,79,71,10.13
235,Cloves 24 Carat Town 50 Gms,storese,Grocery & Staples,50,gm,80,72,10
237,Toor Dal Organic Town 500 Gms,storese,Grocery & Staples,500,gm,84,76,9.52
238,Amchur Powder MDH 100 Gms,storese,Grocery & Staples,100,gm,80,76,5
239,Deepam Lamp Oil Vaamaa 500ml,storese,Grocery & Staples,500,ml,80,76,5
240,Garam Masala Organic Avadata 50Gms,storese,Grocery & Staples,50,gm,80,76,5
241,Fish Curry Mix Organic Avadata 100Gms,storese,Grocery & Staples,100,gm,80,76,5
242,White Pepper Whole Organic Avadata 50Gms,storese,Grocery & Staples,50,gm,80,76,5
243,Wheat Puffed Town 250 Gms,storese,Grocery & Staples,250,gm,85,77,9.41
244,Ragi  Organic Town 1 Kg,storese,Grocery & Staples,1,kg,86,77,10.47
245,Kasoori Methi MDH 100 Gms,storese,Grocery & Staples,100,gm,84,80,4.76
246,Jaggery kolhapur Town 1 kg,storese,Grocery & Staples,1,kg,90,81,10
247,Papad Masala Medium Town 200 Gms,storese,Grocery & Staples,200,gm,90,81,10
248,Meat Masala Town 100 Gms,storese,Grocery & Staples,100,gm,103,82,20.39
249,Channa Masala Town 100 Gms,storese,Grocery & Staples,100,gm,103,82,20.39
250,Grapes Dry Black Town 100 Gms,storese,Grocery & Staples,100,gm,91,82,9.89
251,Wheat Organic Town 1 Kg,storese,Grocery & Staples,1,kg,91,82,9.89
252,Pepper Powder White Pure Town 50 Gms,storese,Grocery & Staples,50,gm,93,84,9.68
253,Chilly Byadgi Staff Town 250g,storese,Grocery & Staples,250,gm,94,85,9.57
254,Guntur Chilly 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,94,85,9.57
255,Mace (Japathari) Town 25 Gms,storese,Grocery & Staples,25,gm,94,85,9.57
256,Rice Red Boiled Town 1 Kg,storese,Grocery & Staples,1,kg,94,85,9.57
257,Chat  Masala Town 100 Gms,storese,Grocery & Staples,100,gm,108,86,20.37
258,Wheat Broken Town 1 Kg,storese,Grocery & Staples,1,kg,95,86,9.47
259,Jaggery natural Miltop 875Gms,storese,Grocery & Staples,875,gm,95,86,9.47
260,Sugar Breakfast Trust 1 kg,storese,Grocery & Staples,1,kg,90,86,4.44
261,Dates Dry Town 200 Gms,storese,Grocery & Staples,200,gm,95,86,9.47
262,Motor Dal Town 250 Gms,storese,Grocery & Staples,250,gm,96,86,10.42
263,Jaggery Square Town 500 Gms,storese,Grocery & Staples,500,gm,95,86,9.47
264,Mankut Chilly Town 250 Gms,storese,Grocery & Staples,250,gm,95,86,9.47
265,Rice Boiled Meals Town 1 Kg,storese,Grocery & Staples,1,kg,95,86,9.47
266,Badam Powder Town 200 Gms,storese,Grocery & Staples,200,gm,110,88,20
267,Rice Boiled Meals Kerala Town 1kg,storese,Grocery & Staples,1,kg,98,88,10.2
268,Rice Red Raw Town 1 Kg,storese,Grocery & Staples,1,kg,98,88,10.2
269,Rice Ponny Raw Town 1 Kg,storese,Grocery & Staples,1,kg,100,90,10
270,Beans White Town 500 Gms,storese,Grocery & Staples,500,gm,101,91,9.9
271,Moong daal Organic Town 500 Gms,storese,Grocery & Staples,500,gm,103,93,9.71
272,Papad Masala Big Town 250 Gms,storese,Grocery & Staples,250,gm,103,93,9.71
273,Black Pepper Powder (Pure) Town 50 Gms,storese,Grocery & Staples,50,gm,103,93,9.71
274,Bisibelebath Powder Organic Avadata 100Gms,storese,Grocery & Staples,100,gm,100,95,5
275,Chutney Powder Organic Avadata 100Gms,storese,Grocery & Staples,100,gm,100,95,5
276,Puliogare Gojju Organic Avadata 200Gms,storese,Grocery & Staples,200,gm,100,95,5
277,Gram Dal 24 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,108,97,10.19
278,Pepper Powder White Organic Town 50 g,storese,Grocery & Staples,50,gm,108,97,10.19
279,Urad Whole White (Gola) Organic Town 500 Gms,storese,Grocery & Staples,500,gm,108,97,10.19
280,Urad Black Split (Chilka) Organic Town 500 Gms,storese,Grocery & Staples,500,gm,108,97,10.19
281,Sambhar Powder Town 250 Gms,storese,Grocery & Staples,250,gm,124,99,20.16
282,Garam Masala Town 100 Gms,storese,Grocery & Staples,100,gm,124,99,20.16
283,Rice Red Jolaga Organic Town 1 Kg,storese,Grocery & Staples,1,kg,110,99,10
284,Pepper 18 Carat Town 100 Gms,storese,Grocery & Staples,100,gm,111,100,9.91
285,Rice Bullet ( Colum ) Town 24 Crt 1 Kg,storese,Grocery & Staples,1,kg,111,100,9.91
286,Urad Dal Organic Town 500 Gms,storese,Grocery & Staples,500,gm,111,100,9.91
287,Rice Ponny Boiled Town 1 Kg,storese,Grocery & Staples,1,kg,111,100,9.91
288,Rice Red (Kari Jidda) Organic Town 1 Kg,storese,Grocery & Staples,1,kg,111,100,9.91
289,Rice Unpolished Rajmudi Organic Town 1 Kg,storese,Grocery & Staples,1,kg,111,100,9.91
290,Besan Flour Bombay Town 500 Gms,storese,Grocery & Staples,500,gm,114,103,9.65
291,Pepper 24 Carat Town 100 Gms,storese,Grocery & Staples,100,gm,118,106,10.17
292,Radhuni Town 100 Gms,storese,Grocery & Staples,100,gm,119,107,10.08
293,Dry Double Beans white Town 250g,storese,Grocery & Staples,250,gm,119,107,10.08
294,Byadgi Chilly  18 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,121,109,9.92
295,Coriander Seeds 18 Carat Town 500 Gms,storese,Grocery & Staples,500,gm,121,109,9.92
296,Wheat (Jave Godhi-Barley) Town 500 Gms,storese,Grocery & Staples,500,gm,121,109,9.92
297,Kashmiri Rajma Town 1 Kg,storese,Grocery & Staples,1,kg,123,111,9.76
298,Sugar Town Organic 1 Kg,storese,Grocery & Staples,1,kg,124,112,9.68
299,Chicken Pepper Fry Organic Avadata 100Gms,storese,Grocery & Staples,100,gm,120,114,5
300,Drumstick Tea Future Organics 40 gms,storese,Grocery & Staples,40,gm,120,114,5
