Name,Brand,Category,Size,Unit,Price,SellingPrice,Discount
Silk Oreo - Cadbury,simplinamdharis,Branded Foods,130.0,gm,170.0,170.0,0.0
Roasted Almonds Salted 200G - Cornitos,simplinamdharis,Branded Foods,200.0,gm,340.0,340.0,0.0
Silk Rost Almond Chocolate - Cadbury,simplinamdharis,Branded Foods,145.0,gm,160.0,160.0,0.0
Silk Fruit N Nut Chocolate - Cadbury,simplinamdharis,Branded Foods,145.0,gm,160.0,160.0,0.0
Delishus Choco Chip - Sunfeast,simplinamdharis,Branded Foods,60.0,gm,30.0,30.0,0.0
5 Star 3D - Cadbury,simplinamdharis,Branded Foods,45.0,gm,30.0,30.0,0.0
Veggi Sticks Sour Cream Onion - Too Yumm,simplinamdharis,Branded Foods,60.0,gm,20.0,20.0,0.0
Magic Masala - Lays,simplinamdharis,Branded Foods,110.0,gm,35.0,35.0,0.0
Mixed Fruit Jam - Kissan,simplinamdharis,Branded Foods,500.0,gm,150.0,150.0,0.0
Mixed Fruit Jam - Kissan,simplinamdharis,Branded Foods,200.0,gm,65.0,65.0,0.0
Silk Plain Chocolate - Cadbury,simplinamdharis,Branded Foods,65.0,gm,70.0,70.0,0.0
Silk Plain Chocolate - Cadbury,simplinamdharis,Branded Foods,160.0,gm,160.0,160.0,0.0
Breakfast Bar Apricot Fig 50 Gm - Yogabar,simplinamdharis,Branded Foods,50.0,gm,50.0,50.0,0.0
Jim Jam Treat Family Pack - Britannia,simplinamdharis,Branded Foods,200.0,gm,35.0,35.0,0.0
Peri Peri Nachos With Dip - Salsalito,simplinamdharis,Branded Foods,75.0,gm,60.0,60.0,0.0
Good Day Cashew - Britannia,simplinamdharis,Branded Foods,58.0,gm,10.0,10.0,0.0
Good Day Cashew - Britannia,simplinamdharis,Branded Foods,90.0,gm,20.0,20.0,0.0
Ragibites Assorted 6X30Gm - Soul Full,simplinamdharis,Branded Foods,180.0,gm,99.0,99.0,0.0
Tangy Tomato Cup Noodles - Top Ramen,simplinamdharis,Branded Foods,70.0,gm,45.0,45.0,0.0
Funchies Ragi Puffs Chilli Lemon 35G,simplinamdharis,Branded Foods,35.0,gm,20.0,20.0,0.0
Farmlite Oats & Almonds - Sunfeast,simplinamdharis,Branded Foods,150.0,gm,50.0,50.0,0.0
