,Product_Category,Product_Name,Regular_Price,Sale_Price
385,grocery-and-staples,Cardamom  18 Carat Town 25 Gms,220,198
386,grocery-and-staples,Ajwain Seeds Powder GZG 100Gms,210,200
387,grocery-and-staples,Coriander Seeds Premium Town 500 Gms,223,201
388,grocery-and-staples,Chia Seeds Town 250 Gms,230,207
389,grocery-and-staples,Pudina Pickle with Olive Oil Future Organics 160gms,225,214
390,grocery-and-staples,Byadgi Chilly  18 Carat Town 500 Gms,239,215
391,grocery-and-staples,Pista Salted Town 100 g,231,219
392,grocery-and-staples,Rice Basmathi 24 Carat Town 1 Kg,251,226
393,grocery-and-staples,Rice Basumathi Brown Organic Town 1 Kg,253,228
394,grocery-and-staples,Spirulina Powder Organic Town 50 Gms,240,228
